SOC,Uoc,R0,Tao from zero-state,Tao from zero-input,R,C
0.9,2.393,0.0004592660632009351,0.10065753827286684,0.2606958727293244,0.0002934661586130558,342.99538573231854
0.8,2.325,0.00045925585736402157,0.07617549241956949,0.6742144066193978,0.0002619480953455475,290.8037652233469
0.7,2.272,0.00045925585736401826,0.07434864893429724,0.8577233910326262,0.00027243150591196435,272.90767521698774
0.6,2.234,0.00047407056244027864,0.07945104425679522,0.9920894910891641,0.0002905285342687228,273.4707090192642
0.5,2.207,0.00047413377980930975,0.09276839654040064,0.8809816292098148,0.0003561279066932919,260.4917918445958
0.4,2.185,0.00050371116609135,0.12119338654031771,0.8882269866093105,0.00042168656707248717,287.40158213169923
0.3,2.164,0.0005185607716184302,0.1343462090236307,0.7432864112789104,0.0004927766183130262,272.63105437825385
0.2,2.143,0.0005703407971438515,0.17380339789211252,0.7108799696965203,0.00062764720094725,276.9125674898368
0.1,2.119,0.0006444396708172546,0.16613304326904324,0.8196971772712467,0.0009170106844170982,181.16805626386613
0.0,2.087,0.0008000651904970041,5812.256019379633,0.9032652615935073,116.08587570810174,50.06858917095622
